Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
73556928,7825,BG0200,ST,N,DÖRR 18° RAK PANEL GLAS HÖGER9X20 2 GL. FÖNST. 42X56CM,0,N,N,N
73556930,7625,BG0200,ST,N,DÖRR 18° RAK PANELHÖGER 10X21,0,N,N,N
73556932,7625,BG0200,ST,N,DÖRR 18° RAK PANELVÄNSTER 10X21,0,N,N,N
73556934,7750,BG0200,ST,N,DÖRR 18° RAK PANEL VÄNSTER8X19 2 GLAS FÖNSTER 42X56CM,0,N,N,N
73556936,11500,BG0200,ST,N,"DUBBELDÖRR 18° RAK PANEL15,3X19 INKL 2ST DÖRRSPÄRRAR",0,N,N,N
73556938,7825,BG0200,ST,N,DÖRR 18° RAK PANEL GLAS VÄNSTER 9X20 2 GL. FÖNST. 42X56CM,0,N,N,N
73556940,7750,BG0200,ST,N,"DÖRR 18° RAK PANEL HÖGER8X19, 2 GLAS FÖNSTER 42X56CM",0,N,N,N
73556942,688,BG0190,ST,N,STOLPLOCK MED KNOPP ARNÖ125X125 MM GRUNDMÅLAD VIT JABO,0,N,N,N
73556948,451,BG0190,ST,N,KNOPP ARNÖ Ø95 MM GRUNDMÅLADVIT JABO,0,N,N,N
73556950,908,BG0190,ST,N,STOLPLOCK MED KNOPP ARNÖ155X155 MM GRUNDMÅLAD VIT JABO,0,N,N,N
73556952,1015,BG0190,ST,N,STOLPLOCK MED KNOPP ARNÖ175X175 MM GRUNDMÅLAD VIT JABO,0,N,N,N
73556954,255,BG0190,ST,N,STOLPLOCK ARNÖ 155X155X40 MMVIT GRUNDMÅLAD JABO,0,N,N,N
73556956,329,BG0190,ST,N,STOLPLOCK ARNÖ 175X175X40 MMVIT GRUNDMÅLAD JABO,0,N,N,N
73556958,215,BG0190,ST,N,STOLPLOCK ARNÖ 125X125X40 MMVIT GRUNDMÅLAD JABO,0,N,N,N
73556962,382,BG0190,ST,N,UNDERLIGGARE AVFASAD ARNÖ VITGRUNDMÅLAD 2400X22X4MM JABO,0,N,N,N
73556964,663,BG0190,ST,N,KNOPP ARNÖ Ø130 MM GRUNDMÅLADVIT JABO,0,N,N,N
