Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
47221420,479,POH60B,ST,N,CONLIT 300 20MM600X900 0.54M2/ST(54.0M2/P),100,N,N,N
47221425,517,POH60B,ST,N,CONLIT 300 25MM600X900 0.54M2/ST(43.2M2/P),80,N,N,N
47221430,555,POH60B,ST,N,CONLIT 300 30MM600X900 0.54M2/ST(43.2M2/P),80,N,N,N
47221440,632,POH60B,ST,N,CONLIT 300 40MM600X900 0.54M2/ST(32.4M2/P),60,N,N,N
47221580,1875,POH60B,ST,N,CONLIT 120 80MM VIT VÄV1200x2000 2.4M2/ST(36.0M2/P),15,N,N,N
47255060,1860,POH45B,FRP,N,NÄTMATTA PROROX WM967 ALUSC 60600X4000 2.4M2/FRP(43.2M2/P),18,N,N,N
47255080,1360,POH45B,FRP,N,NÄTMATTA PROROX WM967 ALUSC 80600X2500 1.5M2/FRP(27.0M2/P),18,N,N,N
47255100,1180,POH450,FRP,N,NÄTMATTA PROROX WM967 ALUSC100600X2000 1.2M2/FRP(21.6M2/P),18,N,N,N
47258150,717,POH450,M2,N,IND.RLE PROROX MA920 ALUSC 1501000X2000(2.0M2/FRP)(18.0M2/P),18,N,N,N
47262075,987,POH55B,FRP,N,BRANDBATTS PROROX SL960 75600X1000 1.8M2/FRP(36.0M2/P),20,N,N,N
47270090,104,POH15B,M,N,RÖRSKÅL PROROX PS 960 28/20MM1000MM (30M/FRP)(360M/PALL),30,N,N,N
47270100,186,POH15B,M,N,RÖRSKÅL PROROX PS 960 28/30MM1000MM (16M/FRP)(192M/PALL),16,N,N,N
47270110,249,POH150,M,N,RÖRSKÅL PROROX PS 960 28/40MM1000MM (12M/FRP)(144M/PALL),12,N,N,N
47270120,356,POH15B,M,N,RÖRSKÅL PROROX PS 960 28/50MM1000MM (9M/FRP)(108M/PALL),9,N,N,N
47270130,463,POH15B,M,N,RÖRSKÅL PROROX PS 960 28/60MM1000MM (6M/FRP)(72M/PALL),6,N,N,N
47270140,744,POH15B,M,N,RÖRSKÅL PROROX PS 960 28/80MM1000MM (1M/FRP)(33M/PALL),0,N,N,N
47270150,112,POH15B,M,N,RÖRSKÅL PROROX PS 960 35/20MM1000MM (25M/FRP)(300M/PALL),25,N,N,N
47270160,194,POH150,M,N,RÖRSKÅL PROROX PS 960 35/30MM1000MM (16M/FRP)(192M/PALL),16,N,N,N
