Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
468351,234,CX4410,ST,J,SAXLÅS/HUVUDSTRÖMBRY ABUS H751112X40MM ALU,0,N,N,N
468360,671,CX515A,FRP,N,TRYCKE HOPPE STOCKHOLM F165-75MM ALU SB,0,N,N,N
468361,604,CX5151,FRP,J,TRYCKE HOPPE STOCKHOLM F137-42MM INKL NYCKELSKYLT ALU,0,N,N,N
468362,800,CX5151,FRP,J,TRYCKE HOPPE STOCKHOLM F137-42MM INKL WC-BEHÖR ALU,0,N,N,N
468367,97.5,CX645A,ST,J,KABELGENOMFÖRING60 MM PLAST SVART SB,0,N,N,N
468384,611,CX620A,ST,J,DUSCHDRAPERI VIT POLYESTER180X200CM,0,N,N,N
468385,871,CX620A,ST,J,DUSCHDRAPERI VIT POLYESTER180X200CM M STJÄRNOR,0,N,N,N
468386,883,CX620B,ST,J,DUSCHDRAPERI BLÅ POLYESTER180X200CM M STJÄRNOR,0,N,N,N
468387,883,CX620B,ST,N,DUSCHDRAPERI LJUSBLÅ POLYESTER180X200CM M STJÄRNOR,0,N,N,N
468388,883,CX620B,ST,N,DUSCHDRAPERI CREMEVIT POLYESTE180X200CM M STJÄRNOR,0,N,N,N
468391,834,CX620A,ST,N,DUSCHDRAPERI VIT POLYESTER110X182CM,0,N,N,N
468393,553,CX576A,ST,J,DUSCH- OCH TVÅLKORG CHHÄNGFÄSTE FÖR BLANDARE,0,N,N,N
468394,1435,CX690A,ST,N,HÖRNSKYDD 25X25MM VITSJÄLVHÄFTANDE1500MM NR 632,0,N,N,N
